month,measure,state,sector,value
1/1/2001,million kilowatthours,Connecticut,residential,1300
1/1/2001,million kilowatthours,Connecticut,commercial,1050
1/1/2001,million kilowatthours,Connecticut,industrial,361
1/1/2001,million kilowatthours,Connecticut,transportation,NA
1/1/2001,million kilowatthours,Connecticut,other,50
1/1/2001,million kilowatthours,Maine,residential,387
1/1/2001,million kilowatthours,Maine,commercial,406
1/1/2001,million kilowatthours,Maine,industrial,274
1/1/2001,million kilowatthours,Maine,transportation,NA
1/1/2001,million kilowatthours,Maine,other,5
1/1/2001,million kilowatthours,Massachusetts,residential,1815
1/1/2001,million kilowatthours,Massachusetts,commercial,2032
1/1/2001,million kilowatthours,Massachusetts,industrial,754
1/1/2001,million kilowatthours,Massachusetts,transportation,NA
1/1/2001,million kilowatthours,Massachusetts,other,58
1/1/2001,million kilowatthours,New Hampshire,residential,405
1/1/2001,million kilowatthours,New Hampshire,commercial,356
1/1/2001,million kilowatthours,New Hampshire,industrial,204
1/1/2001,million kilowatthours,New Hampshire,transportation,NA
1/1/2001,million kilowatthours,New Hampshire,other,11
1/1/2001,million kilowatthours,Rhode Island,residential,257
1/1/2001,million kilowatthours,Rhode Island,commercial,261
1/1/2001,million kilowatthours,Rhode Island,industrial,110
1/1/2001,million kilowatthours,Rhode Island,transportation,NA
1/1/2001,million kilowatthours,Rhode Island,other,6
1/1/2001,million kilowatthours,Vermont,residential,209
1/1/2001,million kilowatthours,Vermont,commercial,169
1/1/2001,million kilowatthours,Vermont,industrial,141
1/1/2001,million kilowatthours,Vermont,transportation,NA
1/1/2001,million kilowatthours,Vermont,other,4
1/1/2001,million kilowatthours,New Jersey,residential,2338
1/1/2001,million kilowatthours,New Jersey,commercial,2859
1/1/2001,million kilowatthours,New Jersey,industrial,1062
1/1/2001,million kilowatthours,New Jersey,transportation,NA
1/1/2001,million kilowatthours,New Jersey,other,50
1/1/2001,million kilowatthours,New York,residential,4175
1/1/2001,million kilowatthours,New York,commercial,5313
1/1/2001,million kilowatthours,New York,industrial,2041
1/1/2001,million kilowatthours,New York,transportation,NA
1/1/2001,million kilowatthours,New York,other,1218
1/1/2001,million kilowatthours,Pennsylvania,residential,5113
1/1/2001,million kilowatthours,Pennsylvania,commercial,3647
1/1/2001,million kilowatthours,Pennsylvania,industrial,3793
1/1/2001,million kilowatthours,Pennsylvania,transportation,NA
1/1/2001,million kilowatthours,Pennsylvania,other,154
1/1/2001,million kilowatthours,Illinois,residential,4276
1/1/2001,million kilowatthours,Illinois,commercial,3693
1/1/2001,million kilowatthours,Illinois,industrial,3489
1/1/2001,million kilowatthours,Illinois,transportation,NA
1/1/2001,million kilowatthours,Illinois,other,924
1/1/2001,million kilowatthours,Indiana,residential,3399
1/1/2001,million kilowatthours,Indiana,commercial,2117
1/1/2001,million kilowatthours,Indiana,industrial,3489
1/1/2001,million kilowatthours,Indiana,transportation,NA
1/1/2001,million kilowatthours,Indiana,other,43
1/1/2001,million kilowatthours,Michigan,residential,3178
1/1/2001,million kilowatthours,Michigan,commercial,2911
1/1/2001,million kilowatthours,Michigan,industrial,2686
1/1/2001,million kilowatthours,Michigan,transportation,NA
1/1/2001,million kilowatthours,Michigan,other,85
1/1/2001,million kilowatthours,Ohio,residential,5433
1/1/2001,million kilowatthours,Ohio,commercial,3420
1/1/2001,million kilowatthours,Ohio,industrial,5543
1/1/2001,million kilowatthours,Ohio,transportation,NA
1/1/2001,million kilowatthours,Ohio,other,282
1/1/2001,million kilowatthours,Wisconsin,residential,1995
1/1/2001,million kilowatthours,Wisconsin,commercial,1546
1/1/2001,million kilowatthours,Wisconsin,industrial,2084
1/1/2001,million kilowatthours,Wisconsin,transportation,NA
1/1/2001,million kilowatthours,Wisconsin,other,65
1/1/2001,million kilowatthours,Iowa,residential,1197
1/1/2001,million kilowatthours,Iowa,commercial,708
1/1/2001,million kilowatthours,Iowa,industrial,1305
1/1/2001,million kilowatthours,Iowa,transportation,NA
1/1/2001,million kilowatthours,Iowa,other,190
1/1/2001,million kilowatthours,Kansas,residential,1085
1/1/2001,million kilowatthours,Kansas,commercial,1008
1/1/2001,million kilowatthours,Kansas,industrial,840
1/1/2001,million kilowatthours,Kansas,transportation,NA
1/1/2001,million kilowatthours,Kansas,other,38
1/1/2001,million kilowatthours,Minnesota,residential,1811
1/1/2001,million kilowatthours,Minnesota,commercial,2186
1/1/2001,million kilowatthours,Minnesota,industrial,1270
1/1/2001,million kilowatthours,Minnesota,transportation,NA
1/1/2001,million kilowatthours,Minnesota,other,63
1/1/2001,million kilowatthours,Missouri,residential,3234
1/1/2001,million kilowatthours,Missouri,commercial,2177
1/1/2001,million kilowatthours,Missouri,industrial,1418
1/1/2001,million kilowatthours,Missouri,transportation,NA
1/1/2001,million kilowatthours,Missouri,other,109
1/1/2001,million kilowatthours,Nebraska,residential,853
1/1/2001,million kilowatthours,Nebraska,commercial,604
1/1/2001,million kilowatthours,Nebraska,industrial,563
1/1/2001,million kilowatthours,Nebraska,transportation,NA
1/1/2001,million kilowatthours,Nebraska,other,113
1/1/2001,million kilowatthours,North Dakota,residential,394
1/1/2001,million kilowatthours,North Dakota,commercial,287
1/1/2001,million kilowatthours,North Dakota,industrial,231
1/1/2001,million kilowatthours,North Dakota,transportation,NA
1/1/2001,million kilowatthours,North Dakota,other,45
1/1/2001,million kilowatthours,South Dakota,residential,376
1/1/2001,million kilowatthours,South Dakota,commercial,268
1/1/2001,million kilowatthours,South Dakota,industrial,120
1/1/2001,million kilowatthours,South Dakota,transportation,NA
1/1/2001,million kilowatthours,South Dakota,other,40
1/1/2001,million kilowatthours,Delaware,residential,417
1/1/2001,million kilowatthours,Delaware,commercial,314
1/1/2001,million kilowatthours,Delaware,industrial,331
1/1/2001,million kilowatthours,Delaware,transportation,NA
1/1/2001,million kilowatthours,Delaware,other,6
1/1/2001,million kilowatthours,District Of Columbia,residential,201
1/1/2001,million kilowatthours,District Of Columbia,commercial,672
1/1/2001,million kilowatthours,District Of Columbia,industrial,21
1/1/2001,million kilowatthours,District Of Columbia,transportation,NA
1/1/2001,million kilowatthours,District Of Columbia,other,29
1/1/2001,million kilowatthours,Florida,residential,10458
1/1/2001,million kilowatthours,Florida,commercial,5791
1/1/2001,million kilowatthours,Florida,industrial,1683
1/1/2001,million kilowatthours,Florida,transportation,NA
1/1/2001,million kilowatthours,Florida,other,444
1/1/2001,million kilowatthours,Georgia,residential,4840
1/1/2001,million kilowatthours,Georgia,commercial,3217
1/1/2001,million kilowatthours,Georgia,industrial,2787
1/1/2001,million kilowatthours,Georgia,transportation,NA
1/1/2001,million kilowatthours,Georgia,other,135
1/1/2001,million kilowatthours,Maryland,residential,2782
1/1/2001,million kilowatthours,Maryland,commercial,2253
1/1/2001,million kilowatthours,Maryland,industrial,809
1/1/2001,million kilowatthours,Maryland,transportation,NA
1/1/2001,million kilowatthours,Maryland,other,76
1/1/2001,million kilowatthours,North Carolina,residential,5555
1/1/2001,million kilowatthours,North Carolina,commercial,3178
1/1/2001,million kilowatthours,North Carolina,industrial,2694
1/1/2001,million kilowatthours,North Carolina,transportation,NA
1/1/2001,million kilowatthours,North Carolina,other,174
1/1/2001,million kilowatthours,South Carolina,residential,3066
1/1/2001,million kilowatthours,South Carolina,commercial,1471
1/1/2001,million kilowatthours,South Carolina,industrial,2509
1/1/2001,million kilowatthours,South Carolina,transportation,NA
1/1/2001,million kilowatthours,South Carolina,other,80
1/1/2001,million kilowatthours,Virginia,residential,4514
1/1/2001,million kilowatthours,Virginia,commercial,2542
1/1/2001,million kilowatthours,Virginia,industrial,1623
1/1/2001,million kilowatthours,Virginia,transportation,NA
1/1/2001,million kilowatthours,Virginia,other,897
1/1/2001,million kilowatthours,West Virginia,residential,1304
1/1/2001,million kilowatthours,West Virginia,commercial,654
1/1/2001,million kilowatthours,West Virginia,industrial,1008
1/1/2001,million kilowatthours,West Virginia,transportation,NA
1/1/2001,million kilowatthours,West Virginia,other,7
1/1/2001,million kilowatthours,Alabama,residential,3263
1/1/2001,million kilowatthours,Alabama,commercial,1525
1/1/2001,million kilowatthours,Alabama,industrial,2515
1/1/2001,million kilowatthours,Alabama,transportation,NA
1/1/2001,million kilowatthours,Alabama,other,59
1/1/2001,million kilowatthours,Kentucky,residential,2921
1/1/2001,million kilowatthours,Kentucky,commercial,1373
1/1/2001,million kilowatthours,Kentucky,industrial,3071
1/1/2001,million kilowatthours,Kentucky,transportation,NA
1/1/2001,million kilowatthours,Kentucky,other,275
1/1/2001,million kilowatthours,Mississippi,residential,1758
1/1/2001,million kilowatthours,Mississippi,commercial,893
1/1/2001,million kilowatthours,Mississippi,industrial,1230
1/1/2001,million kilowatthours,Mississippi,transportation,NA
1/1/2001,million kilowatthours,Mississippi,other,66
1/1/2001,million kilowatthours,Tennessee,residential,4629
1/1/2001,million kilowatthours,Tennessee,commercial,1990
1/1/2001,million kilowatthours,Tennessee,industrial,2937
